BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
21,2,86.15797713,0,0,79.5218766,1,1.0486,11.8582,24,1,1.1,0.9
29,1,9880.652599,0,0,449.3512141,1,1.02751,3.2234,345,1,1.1,0.9
35,1,3045.582856,177,0,212.8757417,1,0.99524,0.0743,345,1,1.1,0.9
37,1,-6.304942166,0,0,140,2,1.04419,4.6062,345,1,1.1,0.9
38,1,7.94E-13,0,0,52,2,1.0421,6.9752,345,1,1.1,0.9
39,2,335.98,68.2236488,0,53,2,1.041,3.2739,345,1,1.1,0.9
40,1,-1.681317911,0,0,23,2,1.03072,0.5762,230,1,1.1,0.9
41,1,1420.863683,288.5933589,0,10,2,1.02634,-3.3709,115,1,1.1,0.9
42,2,351.8025985,72.97289219,0,3.5,2,1.04,-2.5665,115,1,1.1,0.9
43,1,-2.744047619,0,0,85.5,2,1.04908,8.343,345,1,1.1,0.9
44,1,-1.01E-12,0,0,59.5,2,1.04792,6.5696,230,1,1.1,0.9
45,2,322.0665698,66.80494059,0,24.5,2,1.04349,3.9472,115,1,1.1,0.9
46,1,29.55799257,6.002006381,0,13.5,2,1.04781,6.185,115,1,1.1,0.9
47,2,622.1149913,137.78519,0,2.5,2,1.03,11.6793,230,1,1.1,0.9
48,2,-43.7435882,0,0,39.5,2,1.05,15.0127,230,1,1.1,0.9
49,1,548.8,111.438593,0,3,2,0.96523,-1.1162,115,1,1.1,0.9
50,2,-1.89148265,0,0,84,2,1.05,13.2144,345,1,1.1,0.9
51,2,1015.556122,210.794303,0,30,2,1.04,8.5283,115,1,1.1,0.9
52,1,313.5422535,63.66747005,0,64,2,1.04193,19.413,345,1,1.1,0.9
53,1,1170.033937,237.6918882,0,28.5,2,1.03,18.0053,115,1,1.1,0.9
54,1,17.51606174,3.556788037,0,16,2,1.0408,26.9321,230,1,1.1,0.9
55,2,822.3790989,166.9911984,0,18,2,1.04,26.2095,230,1,1.1,0.9
56,2,150.638131,30.58837712,0,9,2,1.03,26.8995,230,1,1.1,0.9
57,2,188.3539221,42.68145645,0,2.5,2,1.03,25.7233,115,1,1.1,0.9
58,1,68.90079266,14.93850976,0,20.5,2,1.0101,24.5883,230,1,1.1,0.9
59,1,603.0524441,125.3767783,0,6.5,2,0.99669,22.1857,115,1,1.1,0.9
60,2,5.68E-13,0,0,20.49555889,2,1.04,30.2181,230,1,1.1,0.9
61,2,207.5653317,42.14793824,0,3,2,1.04,26.727,115,1,1.1,0.9
62,2,-2.914834009,0,0,15.5,2,1.01628,23.9633,230,1,1.1,0.9
63,1,-7.5,0,0,16.5,2,1.00548,17.6467,230,1,1.1,0.9
64,1,191.372409,41.23609485,0,9,2,1.00715,14.5476,115,1,1.1,0.9
65,2,101.0581735,26.24115127,0,5,2,1.04,15.7558,115,1,1.1,0.9
66,1,-2.364353312,0,0,71.5,2,1.01975,20.8736,345,1,1.1,0.9
67,1,-3.10E-12,0,0,19.5,2,1.00265,16.6813,230,1,1.1,0.9
68,1,299.6418229,60.84486722,0,10,2,0.99,12.7432,115,1,1.1,0.9
69,1,4.47E-13,0,0,53,2,1.01948,14.3356,345,1,1.1,0.9
70,1,1.17E-12,0,0,6,2,0.99894,13.5662,230,1,1.1,0.9
71,2,526.858371,106.9831552,0,14.5,2,1,11.1142,115,1,1.1,0.9
72,1,-7.46E-13,0,0,20,2,1.05,10.1183,115,1,1.1,0.9
73,1,331.146211,68.2236488,0,65,3,1.03292,1.6376,345,1,1.1,0.9
74,3,451.5329127,98.05702722,0,37,3,1.02708,0.2979,345,1,1.1,0.9
75,1,167.99,34.1118244,0,69.5,3,1.04944,1.2631,138,1,1.1,0.9
76,1,167.99,34.1118244,0,68.5,3,1.04639,0.7974,345,1,1.1,0.9
77,2,671.96,136.4472976,0,72.5,3,1.03539,0.5458,345,1,1.1,0.9
78,1,1030.1,209.1707263,0,41,3,1.02,0,345,1,1.1,0.9
79,2,1736.473381,365.7927721,0,0,3,1.05,8.1715,22,1,1.1,0.9
80,2,2356.214022,487.7236961,0,25,3,1.0232,0.6309,138,1,1.1,0.9
81,1,4051.35,822.6617048,0,0,3,1.02198,-3.2846,345,1,1.1,0.9
82,2,4051.35,822.6617048,0,0,3,1.05,7.568,22,1,1.1,0.9
100,1,1126.82147,0,0,11.25048911,4,1.03248,26.3181,220,1,1.1,0.9
102,1,-42.4867508,0,0,41.06349906,4,1.0455,25.5246,220,1,1.1,0.9
103,1,13353.54476,0,0,56.18806822,4,1.04629,25.3162,220,1,1.1,0.9
124,1,3276.713904,49,0,428.4765891,6,1.04471,2.3841,230,1,1.1,0.9
125,1,1548.05525,5,0,14.92700534,6,1.02196,-3.416,230,1,1.1,0.9
132,1,15781.29551,-337,0,935.3636133,6,1.03978,19.5565,500,1,1.1,0.9
134,2,-936.7436692,0,0,204.2415797,6,1.03,25.5764,230,1,1.1,0.9
138,1,331.305124,64,0,9.035766769,6,0.97073,13.5527,230,1,1.1,0.9
