GEN_TYPE,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
Combined Cycle,62,0.0,0.0,9999,-9999,1.0,100,1,66.0,11.0,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Steam Turbine,82,113.53812,0.0,9999,-9999,1.0,100,1,349.0,96.0,0,0,0,0,0,0,2.85,28.5,85.5,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,539.0,1.0,0,0,0,0,0,0,3.1083333,31.083333,93.25,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,153.0,1.0,0,0,0,0,0,0,0.80833333,8.0833333,24.25,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,756.0,40.0,0,0,0,0,0,0,6.0333333,60.333333,181.0,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,776.0,2.0,0,0,0,0,0,0,6.4666667,64.666667,194.0,0,0
Combined Cycle,82,175.36581,0.0,9999,-9999,1.0,100,1,318.0,129.0,0,0,0,0,0,0,2.6583333,26.583333,79.75,0,0
Combined Cycle,82,76.441505,0.0,9999,-9999,1.0,100,1,320.0,99.0,0,0,0,0,0,0,2.6916667,26.916667,80.75,0,0
Combined Cycle,82,0.0,0.0,9999,-9999,1.0,100,1,313.0,163.0,0,0,0,0,0,0,2.95,29.5,88.5,0,0
Combined Cycle,82,198.97274,0.0,9999,-9999,1.0,100,1,313.0,166.0,0,0,0,0,0,0,2.9333333,29.333333,88.0,0,0
Combined Cycle,82,69.696666,0.0,9999,-9999,1.0,100,1,313.0,92.0,0,0,0,0,0,0,3.2166667,32.166667,96.5,0,0
Combined Cycle,82,0.0,0.0,9999,-9999,1.0,100,1,313.0,87.0,0,0,0,0,0,0,3.7,37.0,111.0,0,0
Jet Engine,82,0.0,0.0,9999,-9999,1.0,100,1,44.0,0.0,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Jet Engine,82,0.0,0.0,9999,-9999,1.0,100,1,44.0,0.0,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Jet Engine,82,0.0,0.0,9999,-9999,1.0,100,1,44.0,0.0,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Jet Engine,82,0.0,0.0,9999,-9999,1.0,100,1,40.0,0.0,0,0,0,0,0,0,0.66666667,6.6666667,20.0,0,0
Jet Engine,82,0.0,0.0,9999,-9999,1.0,100,1,40.0,0.0,0,0,0,0,0,0,0.66666667,6.6666667,20.0,0,0
