GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,UNIT_TYPE
53.0,581.7,0.0,9999.0,-9999.0,1.0,100.0,1.0,581.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.817,58.17000000000001,174.51000000000002,0.0,0.0,Nuclear
50.0,629.0,0.0,9999.0,-9999.0,1.0,100.0,1.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,62.900000000000006,188.7,0.0,0.0,Nuclear
50.0,1299.0,0.0,9999.0,-9999.0,1.0,100.0,1.0,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.99,129.9,389.7,0.0,0.0,Nuclear
55.0,1950.2131720430111,0.0,9999.0,-9999.0,1.0,100.0,1.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.4,2214.0,2460.0,0.0,0.0,Niagra
48.0,941.5201612903226,0.0,9999.0,-9999.0,1.0,100.0,1.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.03999999999999,770.4,1070.0,0.0,0.0,MosesSaunders
21.0,1750.4522721682085,215.117,999.0,-999.0,1.0486,750.0,1.0,5251.356816504625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.128392041261563,131.28392041261563,393.85176123784686,0.0,0.0,Import
29.0,1701.9782092466276,208.118,999.0,-999.0,1.0593,700.0,1.0,5105.934627739883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.764836569349708,127.64836569349707,382.9450970804912,0.0,0.0,Import
29.0,745.0194170697459,10.788,999.0,-999.0,1.0157,300.0,1.0,2235.058251209238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.587645628023095,55.87645628023095,167.62936884069285,0.0,0.0,Import
29.0,609.5613412388831,8.827,9999.0,-9999.0,1.0157,300.0,1.0,1828.6840237166493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5717100592916236,45.71710059291623,137.1513017787487,0.0,0.0,Import
29.0,1885.1024469503786,261.533,999.0,-999.0,1.07625,800.0,1.0,5655.307340851135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.138268352127838,141.38268352127838,424.1480505638351,0.0,0.0,Import
29.0,1508.0819575603027,108.222,999.0,-999.0,1.06,650.0,1.0,4524.245872680908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31061468170227,113.1061468170227,339.3184404510681,0.0,0.0,Import
29.0,2154.4027965147184,27.488,999.0,-999.0,1.0455,900.0,1.0,6463.208389544156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15802097386039,161.58020973860388,484.7406292158116,0.0,0.0,Import
29.0,1454.2218876474349,37.044,999.0,-999.0,1.0455,600.0,1.0,4362.665662942305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.906664157355763,109.06664157355763,327.1999247206729,0.0,0.0,Import
35.0,1491.9239365864426,217.901,999.0,-999.0,1.0486,650.0,1.0,4475.771809759328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.189429524398319,111.8942952439832,335.68288573194957,0.0,0.0,Import
103.0,4581.9495411950265,251.799,999.0,-999.0,1.0,1900.0,1.0,13745.84862358508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.364621558962696,343.646215589627,1030.938646768881,0.0,0.0,Import
103.0,2582.5533777644696,1082.086,9999.0,-9999.0,1.04,100.0,1.0,7747.660133293409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.369150333233524,193.69150333233523,581.0745099970056,0.0,0.0,Import
103.0,1249.6226021440982,324.468,999.0,-999.0,1.04,100.0,1.0,3748.867806432295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.372169516080737,93.72169516080737,281.1650854824221,0.0,0.0,Import
103.0,1666.1634695254643,96.902,999.0,-999.0,1.04,100.0,1.0,4998.490408576393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.496226021440982,124.96226021440982,374.8867806432295,0.0,0.0,Import
100.0,1624.5093827873277,33.013,999.0,-999.0,1.04,650.0,1.0,4873.528148361983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.183820370904957,121.83820370904957,365.51461112714867,0.0,0.0,Import
103.0,3332.3269390509286,506.878,999.0,-999.0,1.05,1350.0,1.0,9996.980817152786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.992452042881965,249.92452042881965,749.773561286459,0.0,0.0,Import
132.0,1492.3331321842434,269.536,999.0,-999.0,1.02,100.0,1.0,4476.99939655273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.192498491381825,111.92498491381825,335.77495474145474,0.0,0.0,Import
