"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"10/17/2023 00:00:00","EDT","CAPITL",61757,1010.616
"10/17/2023 00:00:00","EDT","CENTRL",61754,1431.5748
"10/17/2023 00:00:00","EDT","DUNWOD",61760,494.9229
"10/17/2023 00:00:00","EDT","GENESE",61753,873.0731
"10/17/2023 00:00:00","EDT","HUD VL",61758,820.7044
"10/17/2023 00:00:00","EDT","LONGIL",61762,1637.165
"10/17/2023 00:00:00","EDT","MHK VL",61756,644.1491
"10/17/2023 00:00:00","EDT","MILLWD",61759,226.5772
"10/17/2023 00:00:00","EDT","N.Y.C.",61761,4169.8241
"10/17/2023 00:00:00","EDT","NORTH",61755,588.8756
"10/17/2023 00:00:00","EDT","WEST",61752,1480.8996
"10/17/2023 01:00:00","EDT","CAPITL",61757,983.1963
"10/17/2023 01:00:00","EDT","CENTRL",61754,1403.2064
"10/17/2023 01:00:00","EDT","DUNWOD",61760,478.7812
"10/17/2023 01:00:00","EDT","GENESE",61753,855.4322
"10/17/2023 01:00:00","EDT","HUD VL",61758,784.2705
"10/17/2023 01:00:00","EDT","LONGIL",61762,1566.6654
"10/17/2023 01:00:00","EDT","MHK VL",61756,626.6883
"10/17/2023 01:00:00","EDT","MILLWD",61759,220.019
"10/17/2023 01:00:00","EDT","N.Y.C.",61761,3989.2265
"10/17/2023 01:00:00","EDT","NORTH",61755,578.2902
"10/17/2023 01:00:00","EDT","WEST",61752,1444.244
"10/17/2023 02:00:00","EDT","CAPITL",61757,965.4717
"10/17/2023 02:00:00","EDT","CENTRL",61754,1391.4057
"10/17/2023 02:00:00","EDT","DUNWOD",61760,463.4045
"10/17/2023 02:00:00","EDT","GENESE",61753,841.2176
"10/17/2023 02:00:00","EDT","HUD VL",61758,766.3137
"10/17/2023 02:00:00","EDT","LONGIL",61762,1525.4811
"10/17/2023 02:00:00","EDT","MHK VL",61756,620.8262
"10/17/2023 02:00:00","EDT","MILLWD",61759,214.9393
"10/17/2023 02:00:00","EDT","N.Y.C.",61761,3877.8341
"10/17/2023 02:00:00","EDT","NORTH",61755,576.4079
"10/17/2023 02:00:00","EDT","WEST",61752,1422.9732
"10/17/2023 03:00:00","EDT","CAPITL",61757,965.7772
"10/17/2023 03:00:00","EDT","CENTRL",61754,1387.6602
"10/17/2023 03:00:00","EDT","DUNWOD",61760,455.9743
"10/17/2023 03:00:00","EDT","GENESE",61753,837.5971
"10/17/2023 03:00:00","EDT","HUD VL",61758,762.1004
"10/17/2023 03:00:00","EDT","LONGIL",61762,1511.9826
"10/17/2023 03:00:00","EDT","MHK VL",61756,622.503
"10/17/2023 03:00:00","EDT","MILLWD",61759,212.1251
"10/17/2023 03:00:00","EDT","N.Y.C.",61761,3812.6681
"10/17/2023 03:00:00","EDT","NORTH",61755,572.2991
"10/17/2023 03:00:00","EDT","WEST",61752,1416.8875
"10/17/2023 04:00:00","EDT","CAPITL",61757,989.8795
"10/17/2023 04:00:00","EDT","CENTRL",61754,1414.8871
"10/17/2023 04:00:00","EDT","DUNWOD",61760,459.9643
"10/17/2023 04:00:00","EDT","GENESE",61753,854.1124
"10/17/2023 04:00:00","EDT","HUD VL",61758,774.5904
"10/17/2023 04:00:00","EDT","LONGIL",61762,1544.486
"10/17/2023 04:00:00","EDT","MHK VL",61756,639.5009
"10/17/2023 04:00:00","EDT","MILLWD",61759,215.1434
"10/17/2023 04:00:00","EDT","N.Y.C.",61761,3842.6137
"10/17/2023 04:00:00","EDT","NORTH",61755,578.5809
"10/17/2023 04:00:00","EDT","WEST",61752,1428.4847
"10/17/2023 05:00:00","EDT","CAPITL",61757,1054.1365
"10/17/2023 05:00:00","EDT","CENTRL",61754,1504.0139
"10/17/2023 05:00:00","EDT","DUNWOD",61760,482.6699
"10/17/2023 05:00:00","EDT","GENESE",61753,908.5603
"10/17/2023 05:00:00","EDT","HUD VL",61758,823.667
"10/17/2023 05:00:00","EDT","LONGIL",61762,1662.1375
"10/17/2023 05:00:00","EDT","MHK VL",61756,696.6075
"10/17/2023 05:00:00","EDT","MILLWD",61759,236.5251
"10/17/2023 05:00:00","EDT","N.Y.C.",61761,4059.2915
"10/17/2023 05:00:00","EDT","NORTH",61755,591.2571
"10/17/2023 05:00:00","EDT","WEST",61752,1492.9655
"10/17/2023 06:00:00","EDT","CAPITL",61757,1179.1471
"10/17/2023 06:00:00","EDT","CENTRL",61754,1673.3439
"10/17/2023 06:00:00","EDT","DUNWOD",61760,542.3236
"10/17/2023 06:00:00","EDT","GENESE",61753,1010.003
"10/17/2023 06:00:00","EDT","HUD VL",61758,918.4308
"10/17/2023 06:00:00","EDT","LONGIL",61762,1853.1162
"10/17/2023 06:00:00","EDT","MHK VL",61756,790.0381
"10/17/2023 06:00:00","EDT","MILLWD",61759,260.6919
"10/17/2023 06:00:00","EDT","N.Y.C.",61761,4533.1914
"10/17/2023 06:00:00","EDT","NORTH",61755,614.122
"10/17/2023 06:00:00","EDT","WEST",61752,1614.8248
"10/17/2023 07:00:00","EDT","CAPITL",61757,1264.7006
"10/17/2023 07:00:00","EDT","CENTRL",61754,1776.336
"10/17/2023 07:00:00","EDT","DUNWOD",61760,585.4082
"10/17/2023 07:00:00","EDT","GENESE",61753,1092.6323
